DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2019,12016,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2020,11917,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2021,11785,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2022,11847,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2023,11847,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2024,11896,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,1,2025,11978,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2019,4,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2020,5,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2021,5,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2022,6,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2023,9,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2024,11,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,15,2025,10,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2019,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2020,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2021,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2022,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2023,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2024,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,16,2025,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2019,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2020,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2021,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2022,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2023,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2024,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,17,2025,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2019,13286,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2020,13192,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2021,13065,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2022,13129,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2023,12963,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2024,12853,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,2,2025,12725,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2019,314,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2020,355,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2021,379,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2022,407,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2023,472,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2024,524,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,3,2025,594,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2019,562,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2020,566,,,FILTER__ITG1,,,,,,,
