DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,LABPROF_STATUS_A,EURO_LABOUR_STATUS,EDU_LEV_HIGHEST,CITIZENSHIP,ROLE_IN_HOUSEHOLD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_A,NOTE_EURO_LABOUR_STATUS,NOTE_EDU_LEV_HIGHEST,NOTE_CITIZENSHIP,NOTE_ROLE_IN_HOUSEHOLD,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2018,18.945658,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2019,18.132578,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2020,19.323312,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2021,19.526684,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2022,16.283084,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2023,13.038825,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2024,12.297676,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-24,99,TOT,99,TOTAL,TOT,2025,9.951907,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2018,21.305387,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2019,20.146893,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2020,21.757016,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2021,21.210573,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2022,17.692124,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2023,14.38645,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2024,13.846822,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-29,99,TOT,99,TOTAL,TOT,2025,11.829756,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2018,20.758716,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2019,19.853878,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2020,21.537564,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2021,20.48689,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2022,17.111043,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2023,14.520725,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2024,14.195112,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y15-34,99,TOT,99,TOTAL,TOT,2025,12.340135,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2018,24.982252,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2019,23.384161,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2020,25.767862,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2021,24.274813,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2022,20.410153,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2023,17.307689,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2024,16.67331,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
IT1:172_931_DF_DCCV_NEET1_11(1.0),A,IT,NEET_I,1,Y18-29,99,TOT,99,TOTAL,TOT,2025,14.297334,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,,,,,,,
