nome,larghezza_cm,altezza_cm,titolo,sottotitolo,lettura,fonte
edu_fig01_storia_posizione,30,21,"Bagheria migliora su tutti e 5 gli indicatori educativi, e su tutti e 5 scivola indietro","Posizione di Bagheria fra i 390 comuni siciliani su 5 indicatori di istruzione e lavoro, ai tre censimenti decennali 1991-2011: a sinistra quanto è cambiata la quota, a destra il percentile favorevole, cioè la posizione ribaltata (100 meno il percentile) dove salire è peggio, così che in alto significhi sempre ""davanti"". Migliorare e arretrare vanno insieme: la quota di Bagheria sale, quella della mediana regionale sale di più, e a destra si misura la seconda cosa, quella che una politica di convergenza deve spostare. Il capitale umano cresce di più di tutto: diploma o laurea fra i 25-64enni passa da 20,2% a 42,5%, ma la Sicilia cresce di più, e quello stesso indicatore scende dal 63° al 39° percentile. L'occupazione giovanile è il caso limite: +0,4 punti in vent'anni (19,6% → 20%) valgono un crollo dal 32° al 13° percentile.","ogni riga è un indicatore e ogni linea segue Bagheria attraverso i tre censimenti: la pendenza è il movimento in graduatoria, non il movimento del valore. Le etichette di fine linea sono scostate in verticale quel tanto che basta a non sovrapporsi: i pallini stanno sul valore vero, le scritte no. Il nome di ogni riga porta il verso dell'indicatore, così non serve ricordarsi quale direzione sia quella buona, e le fasce d'età, diverse da indicatore a indicatore, sono indicate nel nome di ciascuno. Il percentile è calcolato su tutti e 390 i comuni siciliani di quel censimento, senza esclusioni.","ISTAT, 8milaCensus, censimenti 1991, 2001 e 2011. Il confronto si ferma al 2011, perché 8milaCensus non prosegue oltre e le tavole 2018-2024 hanno definizioni diverse: i due periodi non formano una serie continua. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_historical_bagheria.csv e edu_historical_change_1991_2011.csv."
edu_fig02_catena_2011,28,22,Nel 2011 la scuola dell'obbligo a Bagheria tiene; il distacco comincia subito dopo,"Distanza fra Bagheria e tre territori di riferimento (Palermo, Sicilia e Italia) su sei indicatori del censimento 2011, disposti lungo la catena che porta dalla competenza di base all'ingresso nel lavoro. Lo zero è Bagheria: ogni pallino dice di quanti punti quel territorio sta MEGLIO di Bagheria, con il segno già ribaltato dove scendere è meglio (uscita precoce, NEET). La catena è l'ordine logico dei passaggi, non una serie storica né una coorte seguita nel tempo. Sulla licenza media Bagheria è davanti a Palermo e alla Sicilia, ed è l'unica riga con pallini a sinistra dello zero. Sulle altre 5 tutti e tre i riferimenti le stanno davanti, e la sola distanza dalla Sicilia vale 5,4 punti sull'uscita precoce, 5,4 sul NEET e 4,3 sull'occupazione giovanile. Il passaggio critico sta dopo la licenza media.","ogni riga è un indicatore e i tre pallini sono i tre riferimenti. La riga verticale allo zero è la parità con Bagheria: a destra dello zero il riferimento sta meglio, a sinistra Bagheria sta meglio. L'etichetta numerica compare solo sulla Sicilia, che è il riferimento citato nel testo; Palermo e Italia si leggono sull'asse. Le righe hanno basi diverse e fasce d'età diverse, scritte in ogni riga: si confrontano il segno e l'ordine dei riferimenti, non la lunghezza di una riga contro quella di un'altra, e i sei valori non sono momenti successivi della stessa coorte. Diploma o laurea 25-64 e titolo universitario 30-34 sono gli stessi indicatori di edu_fig01, qui al solo livello 2011: là interessa il movimento nel tempo, qui la posizione rispetto ai riferimenti.","ISTAT, 8milaCensus, censimento 2011. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_historical_benchmarks_2011.csv e edu_historical_bagheria.csv."
edu_fig03_composizione,26,21,"Fra i giovani di Bagheria si svuota la ricerca di lavoro, mentre l'inattività tiene","Composizione della condizione professionale dei 15-24enni di Bagheria, in percentuale della popolazione della classe, dal 2018 al 2024: i quattro stati sono esaustivi e si escludono a vicenda, quindi sommano al 100% in ogni annata rilevata. La pila è appoggiata sugli inattivi non studenti, cioè il segmento di cui parla il claim, perché nella pila solo la banda che tocca lo zero ha uno spessore confrontabile fra annate. Sopra ci sta chi cerca lavoro: insieme sono l'area ""fuori da lavoro e studio"", il cui bordo superiore è la linea tratteggiata, e che è la somma dei due stati alla base e non un quinto stato. In sei anni la quota di chi cerca crolla dal 18,1% al 7,9%, mentre gli inattivi non studenti passano dal 19,6% al 19%: la banda alla base è la stessa di sei anni fa.","la pila è appoggiata sugli inattivi non studenti, cioè il segmento di cui parla il claim, così che la sua banda parta dalla linea di base e il suo spessore si legga senza doverlo misurare a metà pila. Lo spessore verticale di ogni banda in un'annata è la quota di quello stato in quell'anno. Le etichette numeriche riportano la prima e l'ultima annata, mentre le intermedie si leggono sullo spessore delle bande. La striscia grigia verticale occupa l'annata mancante: l'asse si comprime, dove c'è la striscia non c'è misura, e il 2020 non è interpolato. Poiché la composizione somma sempre a 100, una banda che si assottiglia può farlo perché quel gruppo si riduce o perché un altro cresce: la scomposizione fra i due effetti sta in edu_fig04. «Inattivi non studenti» sono i 15-24enni che non lavorano, non cercano e non sono in istruzione: vanno letti per quello, non come il NEET ISTAT 15-29, che a livello comunale non è calcolabile su queste annate.","ISTAT, Censimento permanente della popolazione, tavola della condizione professionale, classe 15-24 anni, 2018-2024 (6.243 residenti nel 2018 e 5.904 nel 2024). Elaborazione: pipeline/edu (thread educazione), data/processed/edu_youth_states_2018_2024.csv."
edu_fig04_scomposizione,28,23,Il recupero dei giovani di Bagheria è quasi tutto ricerca di lavoro che si spegne,"Scomposizione della variazione del numero di 15-24enni di Bagheria in ciascuno dei quattro stati della condizione professionale, fra il 2018 e il 2024, in PERSONE: quante ne toglie o ne aggiunge il restringersi della coorte, e quante il cambiamento del tasso. Le due sommano alla variazione netta. È aritmetica, non un modello: non attribuisce cause al di là del denominatore. Chi cerca lavoro cala di 663 persone e quasi tutto è cambiamento di tasso (-601); gli inattivi non studenti calano di appena 102, e di questi 66 li toglie soltanto la coorte più piccola: il tasso si muove di -35 persone. Il nucleo che non cerca si è quasi solo rimpicciolito con la demografia.","ogni pannello è uno stato e le barre si leggono in cascata: il grigio è l'effetto del restringimento della coorte, il colore è l'effetto del cambiamento del tasso, e la barra vermiglia è la variazione totale, cioè la somma esatta delle due. La riga verticale allo zero separa le variazioni negative dalle positive. Un effetto di popolazione grande con un effetto di tasso piccolo significa che quello stato non si è svuotato per un cambiamento di comportamento, ma perché ci sono meno giovani. La scomposizione è shift-share sui due estremi del periodo: l'effetto popolazione è la variazione della coorte a tasso 2018 fermo, l'effetto tasso è la variazione del tasso applicata alla coorte 2024, e la somma è esatta, con controllo nel notebook. Le variazioni in persone non sommano a zero fra i quattro pannelli, perché la coorte 15-24 si è ristretta (da 6.243 a 5.904 residenti): la loro somma è esattamente l'effetto demografico complessivo, mentre a sommare a zero sono gli effetti di tasso. «Fuori da lavoro e studio» non ha un pannello perché è la somma di «in cerca» e «inattivi non studenti»: vale -764 persone, ma affiancarlo alle sue componenti le conterebbe due volte.","ISTAT, Censimento permanente della popolazione, tavola della condizione professionale, classe 15-24 anni, 2018 e 2024. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_change_decomposition_2018_2024.csv (con edu_youth_states_2018_2024.csv per la coorte)."
edu_fig05_forbice_25_49,30,21,"Bagheria cresce su istruzione e lavoro, ma nel 2024 è dove la Sicilia era già anni prima","Due misure della classe 25-49 anni a Bagheria e in Sicilia, una per pannello, sullo stesso asse degli anni, dal 2018 al 2024: a sinistra la quota con almeno il diploma, a destra il tasso di occupazione, entrambe in percentuale della popolazione della classe. Il 2018 di Bagheria e quello della Sicilia stanno sulla stessa verticale, e la distanza fra le due linee è il divario di quell'annata. I due pannelli vengono da due tavole aggregate distinte, quindi la figura dice se il territorio avanza su entrambe le dimensioni, non se sia lo stesso individuo a essere diplomato e occupato. Bagheria sale su tutte e due e il divario resta stabile, ma la Sicilia resta avanti: nel 2024 è al 62,4% di diplomati contro 66,5% e al 53,6% di occupati contro 59,3%. Il tratteggio porta il livello di Bagheria 2024 indietro fino all'annata in cui la Sicilia lo aveva già raggiunto: 4 anni sul diploma, 3 anni sull'occupazione. Il territorio si muove, con anni di ritardo.","in ogni pannello le due linee sono Bagheria e la Sicilia sullo stesso asse degli anni, quindi la distanza verticale fra le due in un'annata è il divario di quell'annata. La linea tratteggiata orizzontale porta il livello di Bagheria nel 2024 indietro nel tempo fino all'annata in cui la Sicilia lo aveva già raggiunto: la sua lunghezza è il ritardo in anni, ed è la quantità che il titolo enuncia. Il ritardo è letto sui punti osservati ed è una stima per difetto, perché il sorpasso vero è avvenuto prima, in un punto fra due rilevazioni che qui non si stima. I due pannelli hanno scale verticali proprie, perché misurano cose diverse: le altezze non vanno confrontate fra pannelli, solo le distanze dentro ciascuno. Il 2020 esiste nella tavola istruzione e manca in quella lavoro: nel pannello destro la linea è interrotta e nessun valore è interpolato, mentre l'asse resta lineare in entrambi perché i due pannelli devono restare allineati. L'incrocio fra titolo di studio e condizione professionale non esiste nei dati comunali pubblici: questa non è l'occupazione dei diplomati. La fascia 25-49 è quella dove le due tavole condividono l'età: è più larga del target 15-34 dell'hackathon e resta separata dalle serie 15-24 delle altre figure del thread.","ISTAT, Censimento permanente della popolazione, tavola istruzione e tavola della condizione professionale, classe 25-49 anni, 2018-2024. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_gaps_vs_sicily.csv."
edu_fig06_gap_sicilia,26,19,"Bagheria recupera, e il divario con la Sicilia resta dov'era","Differenza fra Bagheria e la Sicilia, in punti percentuali, su tre misure della classe 15-24 anni, dal 2018 al 2024: tasso di occupazione, quota di inattivi non studenti e quota fuori da lavoro e studio. La figura mostra i divari e non i livelli, ed è una scelta di misura: il confronto in differenze regge alla rottura di misura fra il 2019 e il 2021, comune a tutti i territori, mentre i livelli delle singole componenti no. L'occupazione resta 3,1 punti sotto (era 3,1 nel 2018); inattività e area fuori da lavoro e studio restano sopra.","la riga orizzontale allo zero è la parità con la Sicilia, e la distanza di ogni punto da quella riga è il divario di quell'annata. Il verso favorevole cambia da misura a misura, e va letto insieme al nome: per l'occupazione un divario negativo è sfavorevole a Bagheria, mentre per gli inattivi non studenti e per l'area fuori da lavoro e studio è sfavorevole un divario positivo. La striscia grigia verticale occupa l'annata mancante: dove c'è la striscia non c'è misura, e il 2020 non è interpolato. Fra il 2019 e il 2021 il censimento permanente cambia la definizione di «in cerca di occupazione»: è la ragione per cui la figura si limita alle differenze.","ISTAT, Censimento permanente della popolazione, tavola della condizione professionale, classe 15-24 anni, 2018-2024 (5.904 residenti a Bagheria e 508.999 in Sicilia nell'ultima annata). Elaborazione: pipeline/edu (thread educazione), data/processed/edu_gaps_vs_sicily.csv (con edu_youth_states_2018_2024.csv per i denominatori)."
edu_fig07_pari_2011,27,22,"Fra 10 comuni siciliani costruiti per somigliarle, Bagheria è in mezzo sull'istruzione e in fondo sul lavoro","Posizione di Bagheria dentro un gruppo di 10 comuni siciliani costruiti per somigliarle, su cinque indicatori del censimento 2011: ogni riga è un indicatore e mostra dove cade Bagheria nella nuvola dei suoi pari. Ogni pallino grigio è uno dei pari; il vermiglio è Bagheria, la tacca scura la mediana dei pari. I tre indicatori in alto sono serviti a scegliere i pari, quindi che Bagheria stia in mezzo è atteso per costruzione: quel blocco è il collaudo dell'appaiamento, non un risultato. I due in basso non hanno partecipato alla selezione, e lì la posizione dice qualcosa: sull'occupazione giovanile Bagheria sta 4,1 punti sotto la mediana dei pari (20% contro 24,1%). Il divario resta anche fra comuni scelti per somigliarle, oltre che nel confronto con Palermo o con la media regionale.","ogni pallino grigio è uno dei 10 comuni pari, il pallino vermiglio è Bagheria e la tacca scura è la mediana dei soli pari, con Bagheria esclusa dal calcolo. Lo scarto citato nel sottotitolo è in punti favorevoli: è il valore di Bagheria meno la mediana dei pari dove salire è meglio, e l'opposto dove salire è peggio, quindi un valore negativo significa sempre che Bagheria sta peggio. Le righe hanno basi diverse e fasce d'età diverse, scritte in ogni riga: si confronta la posizione dentro ciascuna nuvola, non la lunghezza di una riga contro quella di un'altra. Con 10 osservazioni conta la dispersione più della graduatoria: la figura mostra dove cade Bagheria dentro la nuvola, non che posto occupa. I pari sono i comuni siciliani più vicini a Bagheria entro un caliper di popolazione, appaiati su struttura demografica, abitativa ed educativa, e gli esiti (occupazione 15-29 e NEET 15-29) restano fuori dalla distanza di appaiamento: è ciò che rende la loro posizione informativa. Resta un confronto descrittivo fra territori e mai causale: comuni simili su alcune variabili osservabili non sono un controllo sperimentale.","ISTAT, 8milaCensus, censimento 2011. Anno e fasce sono diversi dalle serie 2018-2024 delle altre figure del thread: è il gruppo di controllo storico, non un termine di paragone con il censimento permanente. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_matched_peers_2011.csv."
edu_fig08_popolazione,24,19,Lo stock di giovani si assottiglia a Bagheria esattamente come in tutta la Sicilia,"Popolazione residente nella fascia 15-34 anni dal 2021 al 2024 su quattro territori, espressa come numero indice con base 100 nel 2021: quattro territori di dimensione incomparabile si confrontano così sul ritmo e non sui totali, e l'indice non dice nulla sui livelli. Bagheria perde il 2,6% dei suoi 15-34enni, la Sicilia il 2,6%: le due traiettorie divergono di poco a metà periodo e si richiudono, e alla fine distano 0,02 punti d'indice. È un risultato negativo, e serve: il calo giovanile di Bagheria è la demografia dell'isola, prima che un'anomalia locale da spiegare con la fuga. Che l'Italia nello stesso periodo faccia +1,2% dimostra che questa scala le differenze le mostra, quando ci sono.","ogni linea è un territorio e parte da 100 nel 2021: la sua altezza in un'annata è quindi la variazione percentuale cumulata da quell'anno, non un valore assoluto. Le etichette di fine linea sono scostate in verticale quel tanto che basta a non sovrapporsi, perché Bagheria e Sicilia arrivano a 0,02 punti d'indice l'una dall'altra: i pallini stanno sul valore vero, le scritte no. Che le due linee siano quasi sovrapposte è il finding, e che l'Italia se ne stacchi dimostra che questa scala le differenze le mostra quando ci sono. Lo stock non identifica la migrazione: una popolazione che si riduce somma nascite, morti, immigrazioni, emigrazioni e l'invecchiamento delle coorti che entrano ed escono dalla fascia, e il numero non va citato come misura di chi se ne va. La finestra parte dal 2021 perché le età singole, necessarie a ricostruire la fascia 15-34, esistono solo da quell'anno: le altre figure del thread usano la classe 15-24 sul 2018-2024, e le due finestre restano separate.","ISTAT, Censimento permanente della popolazione, popolazione residente per età singola, fascia 15-34 anni, 2021-2024 (nel 2021: Bagheria 12.174; Palermo 137.091; Italia 12.002.452; Sicilia 1.060.515 residenti). Elaborazione: pipeline/edu (thread educazione), data/processed/edu_youth_population_15_34.csv."
edu_fig09_appendice_modelli,28,25,Bagheria sta sotto l'atteso in tutte e 6 le specifiche; sull'occupazione le tre restano senza capacità predittiva,"Quanto Bagheria si discosta dal valore che un modello, addestrato sugli altri 389 comuni siciliani con Bagheria esclusa, le assegnerebbe: a sinistra il residuo (osservato meno previsto) su due esiti del censimento 2011 e tre specifiche ciascuno, a destra la capacità predittiva di ognuno di quei modelli. I due pannelli si leggono insieme, perché il primo dice il segno dello scarto e il secondo dice se quel numero abbia una grandezza citabile. A sinistra tutti e sei i residui sono sfavorevoli e nessun intervallo tocca lo zero. A destra il motivo per cui questa resta una pagina d'appendice. Sull'occupazione il R² in validazione vale -0,05, -0,04, 0,05: 2 di quei tre modelli prevedono peggio di chi rispondesse sempre la media (sono quelli col pallino vuoto) e il terzo, a 0,05, non fa molto meglio. Su quell'esito il residuo ha un segno leggibile e nessuna grandezza citabile. Sul NEET storico la capacità predittiva è moderata (0,38-0,45), e lì il residuo si legge come misura, restando descrittivo.","nel pannello di sinistra ogni riga è una specifica e la barra orizzontale è l'intervallo di confidenza bootstrap al 95% del residuo: che nessun intervallo tocchi lo zero significa che lo scarto è nella stessa direzione in tutte le specifiche. Il residuo è in punti favorevoli, cioè osservato meno previsto dove salire è meglio (occupazione) e il segno opposto dove salire è peggio (NEET); gli estremi dell'intervallo si ribaltano e si scambiano insieme al residuo, così il basso resta il basso. Nel pannello di destra il pallino pieno segnala un modello con capacità predittiva positiva, il pallino vuoto un modello che sui dati non visti fa peggio della semplice media: davanti a un pallino vuoto il residuo della riga corrispondente si legge solo come segno, mai come misura. La riga verticale allo zero separa i due casi, e la misura è l'R quadro in validazione incrociata a 10 falde: quando è negativo il modello non è «poco preciso», è senza contenuto predittivo. Le tre specifiche aggiungono variabili una sull'altra (istruzione, poi mobilità, poi contesto territoriale) e non sono modelli alternativi da mettere in gara: servono a vedere se il segno del residuo sopravvive a specifiche diverse. Sono regressioni ecologiche fra comuni e mai causali: il residuo dice che Bagheria si discosta dai comuni con tratti simili, non che un tratto produca l'esito.","ISTAT, 8milaCensus, censimento 2011. Elaborazione: pipeline/edu (thread educazione), data/processed/edu_model_robustness_2011.csv e edu_historical_bagheria.csv."
edu_fig10_appendice_mobilita,29,26,"Da Bagheria si esce per lavorare molto più che per studiare, e dove si vada resta fuori dal dato","Appendice sulla mobilità: nel pannello di sinistra la quota di chi esce dal comune sul totale di chi si sposta ogni giorno per quel motivo, per quattro territori e per i due motivi (lavoro e studio), anno 2019; nei pannelli di destra due indicatori storici di mobilità del censimento 2011, ciascuno con il proprio denominatore. La figura descrive e non spiega: serve a dire cosa la mobilità permette di affermare e cosa no. Nel 2019 il 38,4% di chi si sposta per lavoro esce dal comune, contro il 14,9% di chi si sposta per studio: 23,4 punti di distanza, la più larga dopo quella italiana. Rispetto alla Sicilia Bagheria manda fuori PIÙ lavoratori (38,4% contro 30,9%) e MENO studenti (14,9% contro 20,6%). È una descrizione, non una spiegazione. Quello che manca è ciò che servirebbe a farne una policy: la tavola si ferma a «fuori comune», quindi la destinazione resta ignota; i due indicatori storici hanno denominatori incompatibili e stanno in due pannelli separati; e il GTFS disponibile copre la rete urbana di Palermo, non il collegamento da Bagheria.","nel pannello di sinistra ogni riga è un territorio e i due pallini sono i due motivi dello spostamento: la loro distanza descrive quel territorio, non un divario fra lavoro e studio, perché i pendolari per lavoro e quelli per studio sono due popolazioni distinte. Il confronto legittimo è quindi fra territori sullo stesso motivo. Nei pannelli di destra ogni pannello ha il suo asse perché i due indicatori non condividono il denominatore (M2 rapporta chi esce dal comune alla popolazione fino a 64 anni, M6 rapporta chi usa il mezzo collettivo ai soli residenti che si spostano ogni giorno): le due altezze non vanno confrontate a occhio. Bagheria è in vermiglio, gli altri territori restano in grigio o nei colori che portano in tutta la cartella. Palermo compare a valori bassissimi per costruzione e non per merito: è il capoluogo del proprio bacino, quindi i suoi residenti trovano lavoro e scuole dentro il comune. La destinazione non è nel dato: la tavola distingue solo «stesso comune» e «altro comune», e nessun numero di questa figura dice quante persone vanno a Palermo. Il feed GTFS disponibile (AMAT Palermo S.p.A., 20260727-20260831: 71 linee, 1.653 fermate) descrive la rete urbana di Palermo e non include il tratto Bagheria-Palermo, quindi nessun risultato ne dipende. La mobilità resta contesto: nel pilota può entrare solo come barriera registrata caso per caso e testata su uno specifico sottogruppo, mai come causa identificata del divario occupazionale.","ISTAT, Censimento permanente della popolazione, tavola del pendolarismo giornaliero, 2019 (pannello sinistro), e ISTAT, 8milaCensus, censimento 2011 (pannelli destri). Elaborazione: pipeline/edu (thread educazione), data/processed/edu_census_commuting_long.csv, edu_commuting_appendix.csv, edu_indicator_dictionary.csv e edu_palermo_gtfs_summary.csv."
