territorio,anno,genere,destinazione,motivo,valore
082006,2018,F,ALL,ALL,8830
082006,2019,F,ALL,ALL,8854
082006,2018,F,ALL,STD,4892
082006,2019,F,ALL,STD,4823
082006,2018,F,ALL,WK,3938
082006,2019,F,ALL,WK,4031
082006,2018,F,OMPUR,ALL,2102
082006,2019,F,OMPUR,ALL,2116
082006,2018,F,OMPUR,STD,831
082006,2019,F,OMPUR,STD,785
082006,2018,F,OMPUR,WK,1271
082006,2019,F,OMPUR,WK,1331
082006,2018,F,SMPUR,ALL,6728
082006,2019,F,SMPUR,ALL,6738
082006,2018,F,SMPUR,STD,4061
082006,2019,F,SMPUR,STD,4038
082006,2018,F,SMPUR,WK,2667
082006,2019,F,SMPUR,WK,2700
082006,2018,M,ALL,ALL,12644
082006,2019,M,ALL,ALL,12663
082006,2018,M,ALL,STD,5158
082006,2019,M,ALL,STD,5065
082006,2018,M,ALL,WK,7486
082006,2019,M,ALL,WK,7598
082006,2018,M,OMPUR,ALL,3761
082006,2019,M,OMPUR,ALL,3819
082006,2018,M,OMPUR,STD,722
082006,2019,M,OMPUR,STD,690
082006,2018,M,OMPUR,WK,3039
082006,2019,M,OMPUR,WK,3129
082006,2018,M,SMPUR,ALL,8883
082006,2019,M,SMPUR,ALL,8844
082006,2018,M,SMPUR,STD,4436
082006,2019,M,SMPUR,STD,4375
082006,2018,M,SMPUR,WK,4447
082006,2019,M,SMPUR,WK,4469
082006,2018,T,ALL,ALL,21474
082006,2019,T,ALL,ALL,21517
082006,2018,T,ALL,STD,10050
082006,2019,T,ALL,STD,9888
082006,2018,T,ALL,WK,11424
082006,2019,T,ALL,WK,11629
082006,2018,T,OMPUR,ALL,5863
082006,2019,T,OMPUR,ALL,5935
082006,2018,T,OMPUR,STD,1553
082006,2019,T,OMPUR,STD,1475
082006,2018,T,OMPUR,WK,4310
082006,2019,T,OMPUR,WK,4460
082006,2018,T,SMPUR,ALL,15611
082006,2019,T,SMPUR,ALL,15582
082006,2018,T,SMPUR,STD,8497
082006,2019,T,SMPUR,STD,8413
082006,2018,T,SMPUR,WK,7114
082006,2019,T,SMPUR,WK,7169
082053,2018,F,ALL,ALL,123445
082053,2019,F,ALL,ALL,124626
082053,2018,F,ALL,STD,57130
082053,2019,F,ALL,STD,57081
082053,2018,F,ALL,WK,66315
082053,2019,F,ALL,WK,67545
082053,2018,F,OMPUR,ALL,3778
082053,2019,F,OMPUR,ALL,3111
082053,2018,F,OMPUR,STD,586
082053,2019,F,OMPUR,STD,380
082053,2018,F,OMPUR,WK,3192
082053,2019,F,OMPUR,WK,2731
082053,2018,F,SMPUR,ALL,119667
082053,2019,F,SMPUR,ALL,121515
082053,2018,F,SMPUR,STD,56544
082053,2019,F,SMPUR,STD,56701
082053,2018,F,SMPUR,WK,63123
082053,2019,F,SMPUR,WK,64814
082053,2018,M,ALL,ALL,157783
082053,2019,M,ALL,ALL,159227
082053,2018,M,ALL,STD,58598
082053,2019,M,ALL,STD,58437
082053,2018,M,ALL,WK,99185
082053,2019,M,ALL,WK,100790
082053,2018,M,OMPUR,ALL,6983
082053,2019,M,OMPUR,ALL,5898
082053,2018,M,OMPUR,STD,500
082053,2019,M,OMPUR,STD,326
082053,2018,M,OMPUR,WK,6483
082053,2019,M,OMPUR,WK,5572
082053,2018,M,SMPUR,ALL,150800
082053,2019,M,SMPUR,ALL,153329
082053,2018,M,SMPUR,STD,58098
082053,2019,M,SMPUR,STD,58111
082053,2018,M,SMPUR,WK,92702
082053,2019,M,SMPUR,WK,95218
082053,2018,T,ALL,ALL,281228
082053,2019,T,ALL,ALL,283853
082053,2018,T,ALL,STD,115728
082053,2019,T,ALL,STD,115518
082053,2018,T,ALL,WK,165500
082053,2019,T,ALL,WK,168335
082053,2018,T,OMPUR,ALL,10761
082053,2019,T,OMPUR,ALL,9009
082053,2018,T,OMPUR,STD,1086
082053,2019,T,OMPUR,STD,706
082053,2018,T,OMPUR,WK,9675
082053,2019,T,OMPUR,WK,8303
082053,2018,T,SMPUR,ALL,270467
082053,2019,T,SMPUR,ALL,274844
082053,2018,T,SMPUR,STD,114642
082053,2019,T,SMPUR,STD,114812
082053,2018,T,SMPUR,WK,155825
082053,2019,T,SMPUR,WK,160032
IT,2018,F,ALL,ALL,13549826
IT,2019,F,ALL,ALL,13691210
IT,2018,F,ALL,STD,4826186
IT,2019,F,ALL,STD,4833476
IT,2018,F,ALL,WK,8723640
IT,2019,F,ALL,WK,8857734
IT,2018,F,OMPUR,ALL,5382512
IT,2019,F,OMPUR,ALL,5525031
IT,2018,F,OMPUR,STD,1417037
IT,2019,F,OMPUR,STD,1448489
IT,2018,F,OMPUR,WK,3965475
IT,2019,F,OMPUR,WK,4076542
IT,2018,F,SMPUR,ALL,8167314
IT,2019,F,SMPUR,ALL,8166179
IT,2018,F,SMPUR,STD,3409149
IT,2019,F,SMPUR,STD,3384987
IT,2018,F,SMPUR,WK,4758165
IT,2019,F,SMPUR,WK,4781192
IT,2018,M,ALL,ALL,16456459
IT,2019,M,ALL,ALL,16523191
IT,2018,M,ALL,STD,4900954
IT,2019,M,ALL,STD,4863126
IT,2018,M,ALL,WK,11555505
IT,2019,M,ALL,WK,11660065
