stop_id,stop_name,stop_lat,stop_lon
1971,STAZIONE CENTRALE ARDIZZONE,38.11001068,13.36617205
1974,STAZIONE CENTRALE BALSAMO,38.11023961,13.36734714
1975,STAZIONE CENTRALE LINCOLN 1,38.11024082,13.36751877
1979,STAZIONE CENTRALE GIULIO CESARE,38.10988799,13.36646923
1980,STAZIONE CENTRALE LINCOLN,38.11064736,13.3671961
1982,STAZIONE CENTRALE MAUROLICO,38.110112,13.36587608
1983,STAZIONE CENTRALE ORETO,38.10999994,13.36573871
1984,STAZIONE CENTRALE PENSILINA ESTERNA,38.1103119,13.36686153
1985,STAZIONE CENTRALE PENSILINA INTERNA,38.11024416,13.3668364
9033,STAZIONE CENTRALE,38.11016257,13.3680177
9034,STAZIONE CENTRALE,38.11009363,13.36805677
