AnnoScolastico,territorio,DescrizioneComune,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,DescrizioneTipologiaGradoIstruzioneScuola
202526,,ACIREALE,CTTF033019,ITI G. FERRARIS,VIA TRAPANI N.4,95024,ISTITUTO TECNICO INDUSTRIALE
202526,,ACIREALE,CTTF03350N,GALILEO FERRARIS CORSO SERALE,Non Disponibile,Non Disponibile,ISTITUTO TECNICO INDUSTRIALE
202526,,ACIREALE,CTTN008018,I.I.S. F. BRUNELLESCHI - SEZ. TURISTICO,VIA GUICCIARDINI SN,95024,ISTITUTO TECNICO PER IL TURISMO
202526,,ACIREALE,CTTN008504,CORSO SERALE TURISMO,VIA GUICCIARDINI SN,95024,ISTITUTO TECNICO PER IL TURISMO
202526,,ADRANO,CTTD18000C,PIETRO BRANCHINA,VIA PASQUALE SIMONE NERI 11,95031,IST TEC COMMERCIALE E PER GEOMETRI
202526,,ADRANO,CTTD18050T,PIETRO BRANCHINA,VIA PASQUALE SIMONE NERI 11,95031,ISTITUTO TECNICO COMMERCIALE
202526,,AGRIGENTO,AGTD023013,I.T.E.T. LEONARDO SCIASCIA,VIA RICCARDO QUARTARARO S.N.C.,92100,ISTITUTO TECNICO COMMERCIALE
202526,,AGRIGENTO,AGTL02301D,"ITG ""BRUNELLESCHI""",CONTRADA CALCARELLE,92100,ISTITUTO TECNICO PER GEOMETRI
202526,,AGRIGENTO,AGTL02351V,BRUNELLESCHI,Non Disponibile,Non Disponibile,ISTITUTO TECNICO PER GEOMETRI
202526,,ALCAMO,TPTD02000X,"I.T.E.T. ""G. CARUSO"" ALCAMO",VIA J.F. KENNEDY N. 2,91011,IST TEC COMMERCIALE E PER GEOMETRI
202526,,ALCAMO,TPTD020509,"I.T.E.T. ""G. CARUSO"" SERALE ALCAMO",VIA J.F. KENNEDY N. 2,91011,ISTITUTO TECNICO COMMERCIALE
202526,,ALIA,PATD01101P,I.T.C. DI ALIA,C.DA CHIANCHITELLO,90021,ISTITUTO TECNICO COMMERCIALE
202526,,ARAGONA,AGTF024015,E. FERMI,VIA MINIERA TACCIA CACI PIRANDELLO,92021,ISTITUTO TECNICO INDUSTRIALE
202526,,AUGUSTA,SRTD00901A,"IST.TEC. SETT. ECONOMICO ""A. RUIZ""",VIA CATANIA 83 E VIA PIRANDELLO 21,96011,ISTITUTO TECNICO COMMERCIALE
202526,,AUGUSTA,SRTD00903C,I.T.C. RUIZ CARCERE AUGUSTA,CONTRADA PIANO IPPOLITO 1,96011,ISTITUTO TECNICO COMMERCIALE
202526,,AUGUSTA,SRTD00951Q,"IST. TEC. COMM.""RUIZ"" SERALE",VIA CATANIA 83,96011,ISTITUTO TECNICO COMMERCIALE
202526,,AUGUSTA,SRTF00901L,IST.TEC. SETT.TECNOLOGICO-LIC.SC.,VIA CATANIA 83,96011,ISTITUTO TECNICO INDUSTRIALE
202526,,AUGUSTA,SRTF009512,IST.TEC. IND.LE AUGUSTA SERALE,VIA CATANIA 83,96011,ISTITUTO TECNICO INDUSTRIALE
202526,,AUGUSTA,SRTL029023,IIS EINAUDI - ITG - CASA RECLUS. BRUCOLI,CONTRADA PIANO IPPOLITO 1,96011,ISTITUTO TECNICO PER GEOMETRI
202526,,AVOLA,SRTD02301L,MAJORANA AFM -TURISTICO,VIA LABRIOLA1,96012,ISTITUTO TECNICO COMMERCIALE
202526,,AVOLA,SRTD023501,MAJORANA- SERALE,VIA A. LABRIOLA,96012,ISTITUTO TECNICO COMMERCIALE
202526,082006,BAGHERIA,PATD043016,IS. TEC. EC. E PER IL TUR. DON L. STURZO,Non Disponibile,90011,ISTITUTO TECNICO COMMERCIALE
202526,082006,BAGHERIA,PATD04351G,IST.T.COM. DON LUIGI STURZO SERALE,VIA S. IGNAZIO DI LOYOLA 7,90011,ISTITUTO TECNICO COMMERCIALE
202526,082006,BAGHERIA,PATF04201L,IST. TECNICO D'ACQUISTO,VIA CONSOLARE,90011,ISTITUTO TECNICO INDUSTRIALE
202526,,BARCELLONA POZZO DI GOTTO,METD08000A,"ITET ""E. FERMI"" ECONOMICO E TECNOLOGICO",VIA PITAGORA 42,98051,IST TEC COMMERCIALE E PER GEOMETRI
202526,,BARCELLONA POZZO DI GOTTO,METD08001B,SEDE CARCERARIA,Non Disponibile,Non Disponibile,IST TEC COMMERCIALE E PER GEOMETRI
202526,,BARCELLONA POZZO DI GOTTO,METD08050Q,"ITET ""E. FERMI"" ECON. E TECN. (SERALE)",VIA PITAGORA N. 42,98051,IST TEC COMMERCIALE E PER GEOMETRI
202526,,BARCELLONA POZZO DI GOTTO,METF03000G,ITT-LSSA COPERNICO,VIA ROMA 250,98051,ISTITUTO TECNICO INDUSTRIALE
202526,,BARCELLONA POZZO DI GOTTO,METF030501,ITT-LSSA COPERNICO BARCELLONA P.G SERALE,VIA ROMA 250,98051,ISTITUTO TECNICO INDUSTRIALE
202526,,BELPASSO,CTTF01601G,"""GALILEO FERRARIS""",VIA LEONARDO SCIASCIA 3,95032,ISTITUTO TECNICO INDUSTRIALE
202526,,BELPASSO,CTTF01650X,GALILEO FERRARIS SERALE,VIA LEONARDO SCIASCIA 3,95032,ISTITUTO TECNICO INDUSTRIALE
202526,,BIANCAVILLA,CTTD18001D,ISTITUTO TECNICO INDUSTRIALE - IND CHIM,VIA GIAMBATTISTA VICO 12,95033,IST TECNICO ECONOMICO E TECNOLOGICO
202526,,BISACQUINO,PATD014016,DON CALOGERO DI VINCENTI,VIA SALERNO,90032,IST TEC COMMERCIALE E PER GEOMETRI
202526,,BIVONA,AGTD01701Q,LORENZO PANEPINTO,C.DA SANTA FILOMENA SNC,92010,IST TEC COMMERCIALE E PER GEOMETRI
202526,,BRONTE,CTTD011016,BENEDETTO RADICE,VIA SARAJEVO1,95034,ISTITUTO TECNICO COMMERCIALE
202526,,BRONTE,CTTD01151G,BENEDETTO RADICE - SERALE,VIA SELVAGGI S.N.,95034,ISTITUTO TECNICO COMMERCIALE
202526,,CALATAFIMI-SEGESTA,TPTD00801A,TECNICO- A.F.M.AMM. FINANZA E MARKETING,VIA LEONARDO DA VINCI 60,91014,ISTITUTO TECNICO COMMERCIALE
202526,,CALTAGIRONE,CTTA00401L,CUCUZZA-EUCLIDE - SEZ. ITA,VIA DELLE BALATAZZE32,95041,ISTITUTO TECNICO AGRARIO
202526,,CALTAGIRONE,CTTA004501,CAT- ITA- IPSSEOA SERALE,VIA MARIO SCELBA5,95041,ISTITUTO TECNICO AGRARIO
202526,,CALTAGIRONE,CTTD04901L,ITC G. ARCOLEO - CALTAGIRONE,VIALE AUTONOMIA N.6,95041,ISTITUTO TECNICO COMMERCIALE
202526,,CALTAGIRONE,CTTD049512,I.T.C. SERALE CALTAGIORNE,VIALE AUTONOMIA 6,95041,ISTITUTO TECNICO COMMERCIALE
202526,,CALTAGIRONE,CTTF004019,CUCUZZA-EUCLIDE - SEZ. ITI,VIA MARIO SCELBA N.1,95041,ISTITUTO TECNICO INDUSTRIALE
202526,,CALTAGIRONE,CTTL00401D,CUCUZZA-EUCLIDE CALTAGIRONE -SEZ. ITG,VIA MARIO SCELBA 5,95041,ISTITUTO TECNICO PER GEOMETRI
202526,,CALTANISSETTA,CLTA023011,AGRARIA - AGROALIMENTARE - AGROINDUSTRIA,VIA LEONE XIII 64,93100,ISTITUTO TECNICO AGRARIO
