checked_at_utc,source_id,provider,file,url,status,required,bytes,sha256,license,purpose,message
2026-08-25T21:36:25+00:00,ottomila_sicilia,Istat 8milaCensus,ottomila_sicilia_2026-08-25.csv,https://ottomilacensus.istat.it/fileadmin/download/19/confini/confini_19.csv,downloaded,True,839616,94a5fcda71dd3f02e2e528f1859f5f459c956aea99b2c5c07732dd396abf5326,CC BY 4.0 / termini Istat,indicatori comunali 1991-2011 per tutti i comuni siciliani,
2026-08-25T21:36:32+00:00,ottomila_benchmarks,Istat 8milaCensus,ottomila_benchmarks_2026-08-25.csv,https://ottomilacensus.istat.it/fileadmin/download/Province_Regioni_Italia_confini_2011.csv,downloaded,True,192124,96232689c92ed236f6c97cb00f8963cc9509c846616aa1d97024231fae3ccf56,CC BY 4.0 / termini Istat,benchmark Sicilia e Italia 2011,
2026-08-25T21:36:32+00:00,ottomila_codebook,Istat 8milaCensus,ottomila_codebook_2026-08-25.csv,https://ottomilacensus.istat.it/fileadmin/download/Descrizione_degli_indicatori_serie_confini_2011.csv,downloaded,True,22521,5b8862f8909757178815190a17cabbdc2dfaa7fe2afdd16cdfccc4c54396f55a,CC BY 4.0 / termini Istat,definizioni ufficiali degli indicatori,
2026-08-25T21:36:33+00:00,ottomila_legend,Istat 8milaCensus,ottomila_legend_2026-08-25.csv,https://ottomilacensus.istat.it/fileadmin/download/Legenda_codici_e_simboli_indicatori_ai_confini_2011.csv,downloaded,True,5815,b69bd8d4e5f9cfadbd29e43477fd6dcc0befac26b064b1c44713ca44e996abf2,CC BY 4.0 / termini Istat,simboli e dati mancanti,
2026-08-25T21:36:33+00:00,census_work,IstatData SDMX,census_work_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.082006+082053+ITG1+IT......../ALL/?detail=full",downloaded,True,405933,f2ce5afd9190f396b0fcdb63147ceccf3c62fe7e00d0dca742a1b56479555a3b,CC BY 4.0 / termini Istat,"condizione professionale per età, 2018-2024",
2026-08-25T21:36:44+00:00,census_education,IstatData SDMX,census_education_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_1,1.0/A.082006+082053+ITG1+IT......../ALL/?detail=full",downloaded,True,397607,0aebef6bbe89fcf40dd391c548e0a22c219c099468c3b0417b3b3593ff3fadc5,CC BY 4.0 / termini Istat,"titolo di studio per età, 2018-2024",
2026-08-25T21:36:49+00:00,census_population,IstatData SDMX,census_population_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_POP_DEMCITMIG_SETA_1,1.0/A.082006+082053+ITG1+IT......./ALL/?detail=full",downloaded,True,1664184,e7a6566bd719e596172e0b82600b6d734126f5b8eb41d896e403d8dfcde81b8e,CC BY 4.0 / termini Istat,"popolazione per età singola, 2018-2024",
2026-08-25T21:36:56+00:00,census_commuting,IstatData SDMX,census_commuting_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_5,1.0/A.082006+082053+ITG1+IT......../ALL/?detail=full",downloaded,True,27151,fd946325907d52bd1da128537f1b45ea5cfa38e06f92446b9ea98170c2fa08a3,CC BY 4.0 / termini Istat,"pendolarismo per studio e lavoro, 2018-2019",
2026-08-25T21:36:58+00:00,technical_schools,Ministero dell'Istruzione via catalogo Open Data Sicilia,technical_schools_2026-08-25.csv,https://dati.istruzione.it/opendata/SCUANAGRAFESTAT/query?query=PREFIX+miur%3A+%3Chttp%3A%2F%2Fwww.miur.it%2Fns%2Fmiur%23%3E%0ASELECT+%3FAnnoScolastico+%3FAreaGeografica+%3FRegione+%3FProvincia%0A+++++++%3FCodiceIstitutoRiferimento+%3FDenominazioneIstitutoRiferimento%0A+++++++%3FCodiceScuola+%3FDenominazioneScuola+%3FIndirizzoScuola+%3FCAPScuola%0A+++++++%3FCodiceComuneScuola+%3FDescrizioneComune%0A+++++++%3FDescrizioneCaratteristicaScuola%0A+++++++%3FDescrizioneTipologiaGradoIstruzioneScuola%0A+++++++%3FIndicazioneSedeDirettivo+%3FIndicazioneSedeOmnicomprensivo%0A+++++++%3FIndirizzoEmailScuola+%3FIndirizzoPecScuola+%3FSitoWebScuola+%3FSedeScolastica%0AWHERE+%7B%0A++GRAPH+%3Fg+%7B%0A++++%3FS+miur%3AANNOSCOLASTICO+%3FAnnoScolastico.%0A++++%3FS+miur%3AAREAGEOGRAFICA+%3FAreaGeografica.%0A++++%3FS+miur%3ACAPSCUOLA+%3FCAPScuola.%0A++++%3FS+miur%3ACODICECOMUNESCUOLA+%3FCodiceComuneScuola.%0A++++%3FS+miur%3ACODICEISTITUTORIFERIMENTO+%3FCodiceIstitutoRiferimento.%0A++++%3FS+miur%3ACODICESCUOLA+%3FCodiceScuola.%0A++++%3FS+miur%3ADENOMINAZIONEISTITUTORIFERIMENTO+%3FDenominazioneIstitutoRiferimento.%0A++++%3FS+miur%3ADENOMINAZIONESCUOLA+%3FDenominazioneScuola.%0A++++%3FS+miur%3ADESCRIZIONECARATTERISTICASCUOLA+%3FDescrizioneCaratteristicaScuola.%0A++++%3FS+miur%3ADESCRIZIONECOMUNE+%3FDescrizioneComune.%0A++++%3FS+miur%3ADESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA+%3FDescrizioneTipologiaGradoIstruzioneScuola.%0A++++%3FS+miur%3AINDICAZIONESEDEDIRETTIVO+%3FIndicazioneSedeDirettivo.%0A++++%3FS+miur%3AINDICAZIONESEDEOMNICOMPRENSIVO+%3FIndicazioneSedeOmnicomprensivo.%0A++++%3FS+miur%3AINDIRIZZOEMAILSCUOLA+%3FIndirizzoEmailScuola.%0A++++%3FS+miur%3AINDIRIZZOPECSCUOLA+%3FIndirizzoPecScuola.%0A++++%3FS+miur%3AINDIRIZZOSCUOLA+%3FIndirizzoScuola.%0A++++%3FS+miur%3APROVINCIA+%3FProvincia.%0A++++%3FS+miur%3AREGIONE+%3FRegione.%0A++++%3FS+miur%3ASITOWEBSCUOLA+%3FSitoWebScuola.%0A++++FILTER+regex%28str%28%3FRegione%29%2C+%22SICILIA%22%29.%0A++++FILTER+regex%28str%28%3FDescrizioneTipologiaGradoIstruzioneScuola%29%2C+%22TEC%22%29.%0A++++OPTIONAL+%7B+%3FS+miur%3ASEDESCOLASTICA+%3FSedeScolastica+%7D%0A++%7D%0A%7D%0ALIMIT+1000%0A%0A&dataType=csv,downloaded,True,78344,e7d2192b32f0cdc4d74de82f4ed83b21a5bd3e91a404b63980aaf78e20abc99f,CC BY 4.0,sedi di istituti tecnici in Sicilia e a Bagheria,
2026-08-25T21:37:04+00:00,regional_job_offers,Open Data Regione Siciliana,regional_job_offers_2026-08-25.csv,https://dati.regione.sicilia.it/download/dataset/offerte-lavoro/filesystem/offerte-lavoro_csv.csv,unavailable,False,0,,CC BY 4.0,domanda di lavoro osservata nel canale pubblico; fonte dichiarata quotidiana ma metadati 2022,"RetryError: HTTPSConnectionPool(host='dati.regione.sicilia.it', port=443): Max retries exceeded with url: /download/dataset/offerte-lavoro/filesystem/offerte-lavoro_csv.csv (Caused by ResponseError('too many 502 error responses'))"
