Numero d'ordine ;Codice;Descrizione Indicatore;Livello territoriale;Descrizione livello territoriale;;Simboli;Descrizione dei simboli
1;P1;Popolazione residente;1;Comune;;-;Indicatore non applicabile per valore nullo o poco significativo del denominatore
2;P2;Variazione intercensuaria annua;2;Provincia;;.. ;Dato non ancora disponibile 
3;P3;Variazione intercensuaria popolazione con meno di 15 anni;3;Regione;;…;Dato non rilevato
4;P4;Variazione intercensuaria popolazione con 15 anni ed oltre;4;Italia;;….;La mancanza o esiguità del fenomeno rende i valori non significativi
5;P5;Incidenza superficie centri e nuclei ;;;;;
6;P6;Incidenza della popolazione residente nei nuclei e case sparse ;;;;;
7;P7;Densità demografica;;;;;
8;P8;Rapporto di mascolinità;;;;;
9;P9;Incidenza popolazione residente con meno di 6 anni;;;;;
10;P10;Incidenza  popolazione residente di 75 anni e più;;;;;
11;P11;Indice di dipendenza anziani;;;;;
12;P12;Indice di dipendenza giovani;;;;;
13;P13;Indice di vecchiaia;;;;;
14;P14;Incidenza dei separati legalmente e dei  divorziati;;;;;
15;S1;Incidenza di residenti stranieri;;;;;
16;S2;Incidenza di minori stranieri;;;;;
17;S3;Incidenza di coppie miste;;;;;
18;S4;Tasso di occupazione straniera;;;;;
19;S5;Rapporto occupazione italiana/straniera;;;;;
20;S6;Rapporto disoccupazione italiana/straniera;;;;;
21;S7;Indice di mobilità residenziale straniera;;;;;
22;S8;Indice di frequenza scolastica straniera ;;;;;
23;S9;Rapporto frequenza scolastica italiana/straniera;;;;;
24;S10;Rapporto lavoro indipendente italiano/straniero;;;;;
25;F1;Ampiezza media delle famiglie ;;;;;
26;F2;Incidenza famiglie senza nuclei;;;;;
27;F3;Incidenza famiglie con due o più nuclei;;;;;
28;F4;Incidenza di giovani che vivono da soli;;;;;
29;F5;Incidenza di famiglie monogenitoriali giovani ;;;;;
30;F6;Incidenza di coppie giovani senza figli ;;;;;
31;F7;Incidenza di coppie giovani con figli;;;;;
32;F8;Incidenza di anziani soli;;;;;
33;F9;Incidenza di famiglie monogenitoriali anziane;;;;;
34;F10;Incidenza di coppie anziane senza figli ;;;;;
35;F11;Incidenza di coppie anziane con figli;;;;;
36;A1;Incidenza delle abitazioni in proprietà ;;;;;
37;A2;Superficie media delle abitazioni occupate;;;;;
38;A3;Potenzialità d'uso degli edifici;;;;;
39;A4;Potenzialità di uso abitativo in centro abitato;;;;;
40;A5;Potenzialità di uso abitativo in nucleo e case sparse ;;;;;
41;A6;Metri quadrati per occupante nelle abitazioni occupate ;;;;;
42;A7;Indice di sottoutilizzo delle abitazioni ;;;;;
43;A8;Indice di affollamento delle abitazioni ;;;;;
44;A9;Indice di disponibilità dei servizi nell'abitazione;;;;;
45;A10;Incidenza edifici in buono stato di conservazione ;;;;;
46;A11;Incidenza edifici in pessimo stato di conservazione ;;;;;
47;A12;Consistenza delle abitazioni storiche occupate;;;;;
48;A13;Indice di espansione edilizia nei centri e nuclei abitati;;;;;
49;A14;Età media del patrimonio abitativo recente;;;;;
50;I1;Incidenza di adulti con titolo di studio superiore;;;;;
51;I2;Differenziali di genere per l'istruzione superiore;;;;;
52;I3;Adulti in apprendimento permanente;;;;;
53;I4;Rapporto adulti con diploma o laurea/licenza media ;;;;;
54;I5;Incidenza di giovani con istruzione universitaria;;;;;
55;I6;Livello di istruzione dei giovani 15-19 anni;;;;;
56;I7;Incidenza  di analfabeti;;;;;
57;I8;Incidenza di adulti con la licenza media;;;;;
58;I9;Uscita precoce dal sistema di istruzione e formazione;;;;;
59;L1;Partecipazione al mercato del lavoro  maschile;;;;;
60;L2;Partecipazione al mercato del lavoro  femminile;;;;;
61;L3;Partecipazione al mercato del lavoro ;;;;;
62;L4;Tasso di occupazione  maschile;;;;;
63;L5;Tasso di occupazione  femminile;;;;;
64;L6;Tasso di occupazione  ;;;;;
65;L7;Indice di ricambio occupazionale ;;;;;
66;L8;Tasso di disoccupazione  maschile;;;;;
67;L9;Tasso di disoccupazione femminile;;;;;
68;L10;Tasso di disoccupazione  ;;;;;
69;L11;Tasso di disoccupazione giovanile ;;;;;
70;L12;Rapporto giovani attivi e non attivi;;;;;
71;L13;Tasso di occupazione 15-29 anni;;;;;
72;L14;Incidenza giovani 15-29 anni che non studiano e non lavorano ;;;;;
73;L15;Incidenza dell'occupazione nel settore agricolo;;;;;
74;L16;Incidenza dell'occupazione nel settore industriale;;;;;
75;L17;Incidenza dell'occupazione nel settore terziario extracommercio;;;;;
76;L18;Incidenza dell'occupazione nel settore commericale;;;;;
77;L19;Incidenza dell'occupazione in professioni ad alta-media specializzazione;;;;;
78;L20;Incidenza dell'occupazione in professioni artigiane, operaie o agricole;;;;;
79;L21;Incidenza dell'occupazione in professioni in professioni a basso livello di competenza;;;;;
80;L22;Rapporto occupati indipendenti maschi/femmine ;;;;;
81;M1;Mobilità giornaliera per studio o lavoro;;;;;
82;M2;Mobilità fuori comune per studio o lavoro;;;;;
83;M3;Rapporto occupati pendolari/stanziali ;;;;;
84;M4;Rapporto studenti pendolari/stanziali ;;;;;
85;M5;Mobilità privata (uso mezzo privato);;;;;
86;M6;Mobilità pubblica (uso mezzo pubblico);;;;;
87;M7;Mobilità lenta (a piedi o in bicicletta);;;;;
88;M8;Mobiliutà breve;;;;;
89;M9;Mobilità lunga;;;;;
90;M10;Mobilità residenziale  ;;;;;
91;V1;Indice di vulnerabilità sociale e materiale;;;;;
92;V2;Posizione nella graduatoria dei comuni dell'indice di vulnerabilità;;;;;
93;V3;"Incidenza di popolazione in comuni ""molto vulnerabili""";;;;;
94;V4;Incidenza di alloggi impropri;;;;;
95;V5;Incidenza delle  delle famiglie numerose;;;;;
96;V6;Incidenza delle famiglie con potenziale disagio economico;;;;;
97;V7;Incidenza popolazione in condizione di affollamento ;;;;;
98;V8;Incidenza di giovani fuori dal mercato del lavoro e dalla formazione ;;;;;
99;V9;Incidenza delle famigle in potenziale disagio di assistenza;;;;;
