AnnoScolastico,AreaGeografica,Regione,Provincia,CodiceIstitutoRiferimento,DenominazioneIstitutoRiferimento,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,CodiceComuneScuola,DescrizioneComune,DescrizioneCaratteristicaScuola,DescrizioneTipologiaGradoIstruzioneScuola,IndicazioneSedeDirettivo,IndicazioneSedeOmnicomprensivo,IndirizzoEmailScuola,IndirizzoPecScuola,SitoWebScuola,SedeScolastica
202526,ISOLE,SICILIA,MESSINA,MEIS001004,I.S.MISTRETTA MANZONI,METD00150P,IST PROF ALB A. FLORENA CORSO SERALE,VIA MARINA,98077,I370,SANTO STEFANO DI CAMASTRA,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,MEIS001004@istruzione.it,Non Disponibile,www.iismanzoni.edu.it,NO
202526,ISOLE,SICILIA,RAGUSA,RGIS018002,G.B. VICO - UMBERTO I - R. GAGLIARDI,RGTL01801P,I.T.G. GAGLIARDI,VIALE DEI PLATANI 180,97100,H163,RAGUSA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,RGIS018002@ISTRUZIONE.IT,Non Disponibile,www.vicoumbertogagliardi.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS00900C,IS DON G. COLLETTO,PATD00901P,I.T.C. DI MARINEO,VIA ETTORE MAJORANA SN,90035,E957,MARINEO,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,PAIS00900C@istruzione.it,Non Disponibile,https//www.doncolletto.edu.it/,SI
202526,ISOLE,SICILIA,CALTANISSETTA,CLIS002004,"I.I.S. ""L. DA VINCI""",CLTD00201A,IST. TECN. AMM. FIN. MARK,VIA C.A. DALLA CHIESA S.N.,93015,F899,NISCEMI,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CLIS002004@istruzione.it,Non Disponibile,www.leonardoniscemi.edu.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS02200V,JACOPO DEL DUCA - DIEGO BIANCA AMATO,PATD022015,ISTITUTO TECNICO,VIA PIETRAGROSSA N. 68/70,90015,C421,CEFALU',NORMALE,IST TEC COMMERCIALE E PER GEOMETRI,NO,Non Disponibile,PAIS02200V@istruzione.it,Non Disponibile,https//www.delduca-biancaamato.edu.it/,SI
202526,ISOLE,SICILIA,MESSINA,MEIS03700V,"I.I.S. ""A.M.JACI - CAIO DUILIO""",METD037015,"IST. TEC. ECONOMICO ""A.M.JACI""",VIA CESARE BATTISTI 88,98122,F158,MESSINA,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,MEIS03700V@istruzione.it,Non Disponibile,www.jaci.edu.it,SI
202526,ISOLE,SICILIA,CALTANISSETTA,CLIS022009,"I.I.S. ""E. MORSELLI - L. STURZO""",CLTD022511,CORSO SERALE A.F.M. - GELA,Non Disponibile,Non Disponibile,D960,GELA,PERCORSO II LIVELLO,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CLIS022009@istruzione.it,Non Disponibile,www.morsellisturzo.edu.it,NO
202526,ISOLE,SICILIA,PALERMO,PAIS01100C,I.I.S.S. LERCARA FRIDDI,PATL011015,I.T.G. DI VICARI,VIA SOPRA LE AIE,90020,L837,VICARI,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,PAIS01100C@istruzione.it,Non Disponibile,www.iislercarafriddi.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS02300P,F. FERRARA,PATD023011,F. FERRARA,VIA SGARLATA 11,90133,G273,PALERMO,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,PAIS02300P@istruzione.it,Non Disponibile,www.iissfrancescoferrara.gov.it,SI
202526,ISOLE,SICILIA,PALERMO,PAIS00800L,EMANUELE BASILE - MARIO D'ALEO,PATA00801C,E. BASILE,VIA TRAPPETO,90040,H797,SAN CIPIRELLO,NORMALE,ISTITUTO TECNICO AGRARIO,NO,Non Disponibile,PAIS00800L@istruzione.it,Non Disponibile,https//iisbasiledaleo.edu.it/,SI
202526,ISOLE,SICILIA,MESSINA,MEIS00900P,I.S.MINUTOLI MESSINA,METL00901B,G. MINUTOLI,FONDO FUCILE C.DA GAZZI,98147,F158,MESSINA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,MEIS00900P@istruzione.it,Non Disponibile,www.istitutosuperioreminutoli.gov.it,SI
202526,ISOLE,SICILIA,TRAPANI,TPIS01400B,"I.I.S.S. ""R. D'ALTAVILLA -",TPTF014519,"I.T.I. ""R. D'ALTAVILLA"" SERALE - MAZARA",C/DA AFFACCIATA - PIAZZA SANDRO PERTINI,91026,F061,MAZARA DEL VALLO,PERCORSO II LIVELLO,ISTITUTO TECNICO INDUSTRIALE,NO,Non Disponibile,TPIS01400B@istruzione.it,Non Disponibile,www.isruggierodaltavilla.edu.it,NO
202526,ISOLE,SICILIA,CATANIA,CTIS04900A,"I.S. ""MAJORANA-ARCOLEO""",CTTD04901L,ITC G. ARCOLEO - CALTAGIRONE,VIALE AUTONOMIA N.6,95041,B428,CALTAGIRONE,NORMALE,ISTITUTO TECNICO COMMERCIALE,NO,Non Disponibile,CTIS04900A@istruzione.it,Non Disponibile,www.ismajoranarcoleo.edu.it,SI
202526,ISOLE,SICILIA,MESSINA,MEIS03700V,"I.I.S. ""A.M.JACI - CAIO DUILIO""",METH037518,ITTL CAIO DUILIO MESSINA CORSO SERALE,VIA GIUSEPPE LA FARINA 70,98123,F158,MESSINA,PERCORSO II LIVELLO,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,MEIS03700V@istruzione.it,Non Disponibile,www.jaci.edu.it,NO
