territorio,territorio_nome,anno,eta,ALL,almeno_diploma,quota_almeno_diploma,compatibilita
082006,Bagheria,2018,Y25-49,18175.0,10210.0,56.17606602475929,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2019,Y25-49,17762.0,10115.0,56.9474158315505,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2020,Y25-49,17148.0,10091.0,58.846512712852814,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2021,Y25-49,17081.0,10241.0,59.95550611790879,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2022,Y25-49,16870.0,10327.0,61.21517486662715,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2023,Y25-49,16627.0,10223.0,61.484332711854215,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2024,Y25-49,16456.0,10265.0,62.3784637822071,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082006,Bagheria,2018,Y9-24,9682.0,2772.0,28.630448254492872,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2019,Y9-24,9512.0,2685.0,28.227502102607232,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2020,Y9-24,9373.0,2708.0,28.891496852661902,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2021,Y9-24,9340.0,2768.0,29.635974304068522,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2022,Y9-24,9213.0,2805.0,30.44610875936177,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2023,Y9-24,9158.0,2799.0,30.563441799519545,Proxy educativo: fascia diversa dal lavoro 15-24.
082006,Bagheria,2024,Y9-24,9163.0,2864.0,31.25613881916403,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2018,Y25-49,213663.0,130024.0,60.854710455249624,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2019,Y25-49,208126.0,127837.0,61.42288805819552,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2020,Y25-49,200132.0,125854.0,62.88549557292187,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2021,Y25-49,196762.0,125218.0,63.63932060052246,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2022,Y25-49,193079.0,125464.0,64.98065558657338,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2023,Y25-49,190079.0,123650.0,65.05189947337686,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2024,Y25-49,187007.0,122735.0,65.63123305544713,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
082053,Palermo,2018,Y9-24,110787.0,31246.0,28.203670105698322,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2019,Y9-24,109080.0,30357.0,27.83003300330033,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2020,Y9-24,106621.0,30445.0,28.554412357790678,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2021,Y9-24,105358.0,31025.0,29.447218056531067,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2022,Y9-24,104826.0,31259.0,29.81989201152386,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2023,Y9-24,104418.0,30225.0,28.94615870826869,Proxy educativo: fascia diversa dal lavoro 15-24.
082053,Palermo,2024,Y9-24,103938.0,30740.0,29.57532375069753,Proxy educativo: fascia diversa dal lavoro 15-24.
IT,Italia,2018,Y25-49,19308143.0,13581841.0,70.34255443415765,"Stessa fascia del lavoro 25-49, ma tavola aggregata separata."
