dominio,metrica,metrica_label,anno,bagheria,sicilia,gap_bagheria_sicilia_pp,direzione
adulti,quota_almeno_diploma,Almeno diploma 25-49,2018,56.17606602475929,61.386742653924415,-5.210676629165128,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2019,56.9474158315505,62.14137800906326,-5.193962177512759,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2020,58.846512712852814,63.95710810828531,-5.110595395432497,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2021,59.95550611790879,64.81530054644809,-4.8597944285392956,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2022,61.21517486662715,66.04856256452146,-4.8333876978943096,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2023,61.484332711854215,65.76774040696819,-4.283407695113972,alto = favorevole
adulti,quota_almeno_diploma,Almeno diploma 25-49,2024,62.3784637822071,66.50598572991974,-4.127521947712644,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2018,42.99312242090784,50.333994253835634,-7.340871832927796,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2019,44.10539353676388,51.26559036465518,-7.160196827891305,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2021,48.16462736373749,54.41530054644809,-6.2506731827105995,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2022,49.60877296976882,55.70263661714606,-6.0938636473772405,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2023,51.50658567390389,57.70944988698371,-6.20286421307982,alto = favorevole
adulti,quota_occupati_25_49,Occupazione 25-49,2024,53.59747204666991,59.32714249360683,-5.729670446936922,alto = favorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2018,37.69021303860323,32.67200558784792,5.0182074507553125,alto = sfavorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2019,32.751874796217805,29.40212677097054,3.3497480252472656,alto = sfavorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2021,29.830537512958472,25.587330524955004,4.243206988003468,alto = sfavorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2022,27.25307149060888,23.22213083903782,4.030940651571058,alto = sfavorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2023,30.742772277029975,22.29242663164945,8.450345645380523,alto = sfavorevole
giovani,quota_fuori_lavoro_studio,Fuori da lavoro e studio 15-24,2024,26.910599403471288,22.291340276018847,4.619259127452441,alto = sfavorevole
giovani,quota_in_cerca,In cerca di lavoro 15-24,2018,18.10027230498158,16.52093306657304,1.57933923840854,dipende dal contesto
giovani,quota_in_cerca,In cerca di lavoro 15-24,2019,18.193674600586892,16.186439236599963,2.007235363986929,dipende dal contesto
giovani,quota_in_cerca,In cerca di lavoro 15-24,2021,10.649717899303718,9.1091816713339,1.5405362279698185,dipende dal contesto
giovani,quota_in_cerca,In cerca di lavoro 15-24,2022,10.126666606211135,9.070580820123878,1.056085786087257,dipende dal contesto
giovani,quota_in_cerca,In cerca di lavoro 15-24,2023,11.422947655682691,8.706391602703244,2.7165560529794472,dipende dal contesto
giovani,quota_in_cerca,In cerca di lavoro 15-24,2024,7.917148741367449,7.487424846202465,0.429723895164984,dipende dal contesto
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2018,19.589940733621656,16.151072521274877,3.4388682123467795,alto = sfavorevole
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2019,14.55820019563091,13.215687534370577,1.3425126612603329,alto = sfavorevole
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2021,19.180819613654755,16.4781488536211,2.702670760033655,alto = sfavorevole
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2022,17.126404884397743,14.151550018913944,2.974854865483799,alto = sfavorevole
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2023,19.31982462134728,13.586035028946206,5.733789592401074,alto = sfavorevole
giovani,quota_inattivi_non_studenti,Inattivi non studenti 15-24,2024,18.99345066210384,14.80391542981638,4.18953523228746,alto = sfavorevole
giovani,quota_occupati,Occupazione 15-24,2018,8.201185327566876,11.32077925214235,-3.119593924575474,alto = favorevole
giovani,quota_occupati,Occupazione 15-24,2019,8.591457450277144,11.822155533591983,-3.2306980833148398,alto = favorevole
giovani,quota_occupati,Occupazione 15-24,2021,10.100152775420133,12.968278917746723,-2.86812614232659,alto = favorevole
giovani,quota_occupati,Occupazione 15-24,2022,11.662699761985719,14.180634293430574,-2.5179345314448547,alto = favorevole
giovani,quota_occupati,Occupazione 15-24,2023,11.66865113114475,14.793272792120497,-3.1246216609757465,alto = favorevole
giovani,quota_occupati,Occupazione 15-24,2024,12.432249322493226,15.55484391914326,-3.1225945966500337,alto = favorevole
