territorio,nome_territorio,livello,anno,indicatore,valore,percentile_sicilia,direzione
082006,Bagheria,1,1991,I5,40.8,55.8974358974359,alto = sfavorevole
082006,Bagheria,1,2001,I5,30.1,69.48717948717949,alto = sfavorevole
082006,Bagheria,1,2011,I5,28.6,83.07692307692308,alto = sfavorevole
082006,Bagheria,1,1991,I6,20.2,63.46153846153846,alto = favorevole
082006,Bagheria,1,2001,I6,32.4,46.92307692307692,alto = favorevole
082006,Bagheria,1,2011,I6,42.5,38.71794871794872,alto = favorevole
082006,Bagheria,1,1991,I7,6.4,55.12820512820513,alto = favorevole
082006,Bagheria,1,2001,I7,9.8,67.56410256410257,alto = favorevole
082006,Bagheria,1,2011,I7,14.4,31.794871794871792,alto = favorevole
082006,Bagheria,1,1991,I8,75.4,3.717948717948718,alto = favorevole
082006,Bagheria,1,2001,I8,92.7,17.435897435897434,alto = favorevole
082006,Bagheria,1,2011,I8,96.7,33.46153846153846,alto = favorevole
082006,Bagheria,1,1991,L14,19.6,32.17948717948718,alto = favorevole
082006,Bagheria,1,2001,L14,19.1,23.205128205128204,alto = favorevole
082006,Bagheria,1,2011,L14,20.0,12.94871794871795,alto = favorevole
082006,Bagheria,1,1991,L4,42.9,17.17948717948718,alto = sfavorevole
082006,Bagheria,1,2001,L4,47.7,78.97435897435898,alto = sfavorevole
082006,Bagheria,1,2011,L4,40.1,87.82051282051282,alto = sfavorevole
