territorio,nome_territorio,ruolo,distanza_standardizzata,logP1,P7,P10,P12,P13,A1,I5,I6,I7,L14,L4
082006,Bagheria,Bagheria,0.0,10.901487295336825,1818.5,7.4,24.4,98.0,62.4,28.6,42.5,14.4,20.0,40.1
087029,Misterbianco,Peer,1.4722958897090288,10.765448806531527,1256.8,5.9,26.0,72.7,64.4,30.3,39.6,10.9,27.2,43.3
082048,Misilmeri,Peer,2.6209339328614476,10.224483504017842,396.8,7.2,25.8,88.2,65.1,26.0,35.3,13.0,19.9,45.5
087033,Paternò,Peer,2.679390402602281,10.776244282386555,330.9,7.8,26.2,89.4,67.5,27.2,38.8,13.5,27.3,38.0
088012,Vittoria,Peer,2.7705247367139143,11.018727498974094,334.3,7.8,25.5,93.3,64.4,35.5,34.9,12.2,32.4,35.8
082054,Partinico,Peer,2.9054776913798745,10.354595018522993,290.6,8.5,24.2,108.2,67.3,20.5,43.3,17.0,21.3,39.6
082021,Carini,Peer,2.9454218918720336,10.482373613207029,465.8,6.2,29.0,71.6,66.1,23.9,41.8,10.4,23.9,45.3
082049,Monreale,Peer,2.9565590122706777,10.545815010766098,71.7,6.8,25.4,83.6,65.8,25.2,44.5,15.1,19.9,41.5
084011,Canicattì,Peer,3.091791219517993,10.459181373890983,379.5,8.7,25.4,104.4,72.6,24.9,45.1,15.1,25.0,37.2
081012,Mazara del Vallo,Peer,3.180529192244965,10.819678279409949,182.0,8.3,23.9,112.4,69.0,19.2,45.1,16.1,22.0,31.5
081006,Castelvetrano,Peer,3.251487752981756,10.367976001093753,151.7,10.2,22.4,134.8,67.7,25.8,46.7,18.3,24.3,31.4
